company_name,job_title,job_link,job_description,extracted_skills,date_scraped
Team Remotely Inc,Junior Software Development Engineer,https://www.linkedin.com/jobs/view/junior-software-development-engineer-at-team-remotely-inc-3907039025?position=1&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=B7r8JmZvGoQVWXfMsm%2F7uA%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found or couldn't be loaded,[],2024-04-21 17:17:19.586541
Patterned Learning Career,Junior React Developer,https://www.linkedin.com/jobs/view/junior-react-developer-at-patterned-learning-career-3907032933?position=2&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=i360dsbCbrr4FIrjEJ14tA%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found or couldn't be loaded,[],2024-04-21 17:17:19.586541
Check,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-check-3673087302?position=3&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=sQ4jkRefWcEYfieVVm7u2g%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found or couldn't be loaded,[],2024-04-21 17:17:19.586541
HireMeFast LLC,Junior Full Stack Software Engineer,https://www.linkedin.com/jobs/view/junior-full-stack-software-engineer-at-hiremefast-llc-3905840079?position=4&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=E3uhVGMAvc7DE%2Bxaj%2BIYbg%3D%3D&trk=public_jobs_jserp-result_search-card,"This is a remote position. DISCLAIMER: This job posting is intended for active pooling of candidates who will become part of our talent pool. Your qualifications will be assessed against both current and future job openings. Should your application align with a role that corresponds to your skills and experience, and an opportunity arises, our recruitment team will reach out to you immediately. Please note that this does not guarantee immediate placement or contact. Additionally, we exclusively consider applications from individuals who are currently reside in the US/Canada during their application process. Salary: $69,000 - $78,000 per annum Experience Required: Minimum 1 year of project experienceResponsibilities of the Full Stack Software Engineer include:Develop new features and maintain existing software Provide development User Interface and Web application backend Maintain responsibility for code releases into production Actively participate in design and code reviews Qualifications for the Full Stack Software Engineer include:Experience with React Experience with Elixir, Python GO, Javascript, HTML, CSS Database experience - ideally PostGres Ideally Experience with API's and AWS B.S. in Computer Engineering, Computer Science or similar degree Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Software Development","['Python', 'JavaScript']",2024-04-21 17:17:19.586541
Engtal,Entry Level Software Engineer (Remote),https://www.linkedin.com/jobs/view/entry-level-software-engineer-remote-at-engtal-3903248817?position=5&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=CfPCzSRqUT7hMXEUHNTlQg%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found or couldn't be loaded,[],2024-04-21 17:17:19.586541
Check,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-check-3642101639?position=6&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=A3WbjsQ2R67pxrqMUsKGiA%3D%3D&trk=public_jobs_jserp-result_search-card,"Check is leading a revolution in the payroll industry. Payroll is the backbone of the US economy, and yet it has not undergone significant innovation in decades. We invented the embedded payroll space to change that (see: Check: Solving the $150 Billion Payroll Problem, Bank On It; Episode 438), both for the business owners who spend countless hours per week running payroll and for the millions of Americans who depend on their next paycheck. At Check, our mission is to empower the most innovative software platforms to create new payroll businesses, and enable those businesses to transform the way companies pay their employees.Check's culture is intensely caring: to each other as teammates, to our partners, and to the businesses and workers we serve. Our teams are made up of creative problem solvers and empathetic cross-functional collaborators who can simplify the complexities of payroll. We bring hustle and grit to our day-to-day, while building enduring solutions and relationships.Role Overview:Check is hiring a full stack engineer to expand our embedded payroll platform: the intuitive APIs, delightful UIs, and product-backed services that simplify creating, growing, and running a payroll business for our partners. This is the perfect role for an engineer who wants to have an outsized business impact. Our technical stack includes Python, Django, React, TypeScript, Postgres, and AWS.In this role, you will:Scope, develop, and lead large technical projects with significant business impactBuild tools that support and automate complex payroll workflows for our partners and internal teamsInfluence the culture, values, and processes of a growing engineering teamUse data-driven analysis to identify opportunities to achieve our business goalsProvide input on product and strategic decision-makingYou may be a fit for this role if you:Have a strong product/user orientationFocus on iterative value deliveryHave led projects that simplify complex concepts through softwareEnjoy navigating ambiguity and making decisions independentlyHave interest in designing both frontend UIs and backend APIsLove working with cross-functional stakeholdersWe use:Python (type-annotated) and Django for our APIReact and TypeScript for our frontendsPostgres for our databaseAWS for our cloud infrastructureGitLab for issue tracking and CI/CDWhat we offer: At Check we value transparency and trust. It's important to us that every employee and candidate feels confident that they'll be treated (and compensated) fairly on our team. The engineering team specifically operates on a flat titling system, meaning everyone is either a Software Engineer or an Engineering Manager. We structure our titles this way to maximize equity, inclusion and opportunity within our team, and to minimize seniority bias. We want all engineers, regardless of job level, to feel empowered to lead projects they're passionate about and to collaborate with their fellow Checketeers as equals.To that end, we will consider candidates with a variety of backgrounds and levels of expertise for this role, and we will determine the appropriate job level for each candidate based on their unique experience and qualifications. The expected annual salary for this role is between $160,000 and $203,000, depending upon the job level.In the US, Check offers company-sponsored medical, dental, vision, short-term/long-term disability and basic life insurance coverage to all full-time employees, effective on your first day of work. We also provide stock options, flexible PTO and sick leave, 16 weeks of fully paid parental leave for all new parents and flexible return-to-work, 9 annual holidays, a 401k retirement plan, and a $100 monthly stipend for home internet and mobile phone expenses. Benefits may vary outside the US.We accept applications on an ongoing basis with no specified deadline.Check is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Check is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at hello@checkhq.com with ""accommodations"" in the subject line.Check participates in E-Verify and will provide the federal government with Form I-9 information from all new employees to confirm that they are authorized to work in the U.S. Check does not use E-Verify to pre-screen applicants. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Technology, Information and Internet","['Python', 'Django']",2024-04-21 17:17:19.586541
Blend,"Software Engineer, Full Stack (Application Experience)",https://www.linkedin.com/jobs/view/software-engineer-full-stack-application-experience-at-blend-3865049352?position=7&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=b%2BGZBksIf2882FtezFFkDA%3D%3D&trk=public_jobs_jserp-result_search-card,"Blend is a diverse team of problem solvers who believe that the world’s financial resources should be more accessible. Our cloud banking platform is used by Wells Fargo, U.S. Bank, and over 330 other financial services firms to acquire more customers, increase productivity, and deliver end-to-end digital experiences. Our software enables our customers to process an average of more than $5 billion in loans per day, making it possible for consumers to reach their financial goals faster and lead better lives. Come do work that matters.The Application Experience team is responsible for delivering a delightful user experience to both Borrowers and Loan Officers. We are seeking a skilled Full Stack Engineer to join our team and contribute to the continued success of Blend. As a Full Stack Engineer, you will be responsible for designing, implementing, and maintaining our web applications. You will work closely with our product development team to understand and translate customer needs into functional and scalable software solutions. The ideal candidate should have an interest in both frontend and backend development.How You’ll Contribute:Collaborate with cross-functional teams to understand and translate business requirements into technical specifications & codeWork with product managers and UI/UX designers to implement new features and enhancementsDesign & develop applications to scale while considering maintenance, resiliency, and robustnessImplement responsive user interfaces and ensure a seamless user experience across all devices with accessibility in mindIdentify and troubleshoot software defects and issues, ensuring timely resolutionParticipate in code reviews to maintain code quality and ensure best practicesEncourage great habits to enhance team practices by participating in code reviewsCreate your own story! Some of Blend’s best features have come from engineering initiatives. You’ll have an opportunity to propose new ideas and build features end-to-endWho You Are: Bachelor’s degree in Computer Science or equivalent education backgroundStrong computer science fundamentals (data structures and algorithms)Coding experience with any major language, like TypeScript/JavaScript, Golang, Python, Java, C++, etc.You are an Excellent communicator and can operate independently & collaboratively in a fast-paced environment, driving projects to a successful outcomeAbility and willingness to help others succeed and be productiveBonus Points:Experience working with frontend frameworks: React/Angular/VueExperience working with Typescript and Node.jsExperience working with PostgreSQL, MongoDBTo comply with local legislation, as well as to provide greater transparency to candidates, we share base pay ranges on all job postings regardless of desired hiring location.For full time hires, the hiring base pay range for this position is between $95,000 ~ $125,000. Beyond base pay, Blend benefits and perks are described below.Final base pay offer amounts will vary depending on multiple factors, including but not limited to function, level, geographic location, job related knowledge, skills, and experience. Base pay will be adjusted for part-time roles to reflect scheduled hours.Benefits and Perks: Meaningful equity401(k) plan with employer matching contributionComprehensive health benefits16 weeks of paid parental leaveGenerous vacation policy Work from home office set up stipend and internet stipend Wellness benefits covering a variety of wellness activities, gym memberships, fitness classes and more Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Software Development","['PostgreSQL', 'Python', 'JavaScript', 'SQL']",2024-04-21 17:17:19.586541
Moloco,Software Engineer Intern,https://www.linkedin.com/jobs/view/software-engineer-intern-at-moloco-3816303130?position=8&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=Xpd8WVXPx9jHTnrB%2BNl3qA%3D%3D&trk=public_jobs_jserp-result_search-card,"About Moloco: Moloco is a machine learning company empowering organizations of all sizes to grow and unlock the full value of their unique first-party data, elevating the traditional path to performance advertising. While the largest technology companies have proven the speed and scale of ad-targeting utilizing data— the same robust performance powered by machine learning has previously been unavailable beyond their platforms.That's where Moloco steps in. With Moloco's powerful combination of cutting-edge machine learning technologies, we play a unique and visible role in shaping the digital economy, all while allowing companies to stay independent and scale.An industry leader at the nexus of machine learning, performance marketing, and visionary product infrastructure, Moloco is advancing the advertising technology industry. We ranked #95 in the Inc. 5000 fastest-growing private companies for 2022. We ranked #91 among Deloitte’s 2021 Fast 500 and have been certified by 91% of the company via Great Places to Work . Check us out on Glassdoor and be sure to get an inside look at working at Moloco on Instagram , Twitter , and Youtube .Moloco is headquartered in Silicon Valley, with offices in San Francisco, New York, Los Angeles, Seattle, London, Berlin, Seoul, Singapore, Beijing, Gurgaon, and Tokyo.Creating a diverse workforce and a culture of inclusion and belonging is core to our existence. To reach our goals, diversity of talent and thought is a critical component to how we operate as an organization. Our workforce is our superpower, and we know that fostering a culture of inclusion, authenticity, and belonging will allow us the greatest opportunity to carry out our mission -- to empower businesses of all sizes to grow through operational machine learning.Moloco is a truly rewarding place to work and in an exciting period of growth, which you could be a part of. Join us today and apply now!The Impact You’ll Be Contributing to Moloco:We are an engineering company founded by engineers. We understand the value of a strong engineering team and strive to hire only the best engineering interns.We are seeking exceptional interns to join us in building a next-generation ML based ad-serving platform to satisfy the various needs of our customers. As an intern, you can expect to be a full member of the team you join and will be treated as a junior engineer, with the same expectations, project opportunities and responsibilities. Some examples of past intern projects are:Adding features to our high-performance, low-latency backend serversEnhancing our system in various aspects including but not limited to scalability, availability, and performance. Developing novel improvements to pricing theory and/or algorithmsDesigning / planning / shipping new features in collaboration with other engineers, PMs and UI Designers.Developing internal tools to enhance developer productivity and system efficiency.Turning unstructured logs, messages, and events into structured data that can be utilized for analytics, ML, and more.Designing and implementing the backend data pipelines for manipulating and managing big data.Developing APIs to deliver and / or demonstrate the results of advertising campaigns to customers.Minimum Qualifications:Able and willing to work from our Seattle, WA or Redwood City, CA office. Currently enrolled in, or recently graduated from (within the last 12-months), a Bachelor's, Master’s or PhD program in Computer Science, or a related technical field.Candidates pursuing a Bachelor's or Master's degree must be graduating and obtaining degree by June of 2025.Preferred Qualifications:Strong background in data structures and algorithms.Strong coding and problem solving skills.Familiar with distributed systems and/or databases.Fluent with at least one programming language for server development like C/C++, Java, Go, Rust.Internships are full-time (40-hours per week) and 12-weeks in duration during the summer, between May and September 2024. Interns are expected to work in office each working day for the first two weeks, and three days per week for the remainder of the internship.Our Compensation And Benefits (for United States Residents Only)In accordance with various state laws, the range provided is a reasonable estimate of the base compensation for this role. The actual amount may be higher or lower, based on non-discriminatory factors such as experience, knowledge, skills and abilities. We also offer a competitive benefits package.Base Compensation Range:$8,066 — $10,066 USDMoloco Thrive: Benefits and Well-Being: We take care of you and create the conditions for you to do the best work of your career. Through a lens of Inclusion, we offer innovative benefits which empower our employees to take care of themselves and their families so they can do the best work of their lives. For an overview of our global benefits, click here .Moloco Values: Lead with Humility: Everyone’s voice is respected, valued, and heard. With humility, we become more open and accessible to each other. We win, lose, and learn together. Accountability and feedback are essential to our success. Uncapped Growth Mindset: We see all situations as opportunities to learn, grow, and improve as individuals and as an organization. We seek diverse perspectives, encourage curiosity, and promote experimentation to push the boundaries of what’s possible. Create Real Value: We pursue the most impactful opportunities with rigor and integrity. We take intelligent risks and make disciplined trade-offs to maintain deep focus. We help our customers win by delivering durable value. Go Further Together: We’re one team working towards one mission and vision. We collaborate proactively and inclusively, involving the right people at the right time and in the right way. We strive to create a more equitable workplace. We won’t let each other fail. Additional Resources: Moloco Company Blog Moloco Leadership Moloco Newsroom Equal Opportunity: Moloco is an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, color, creed, religion, national origin, age, sex and gender, gender expression and gender identity, sexual orientation, marital status, ancestry, physical or mental disability, military and veteran status, or any other characteristic protected by law.Candidate Privacy Notice:Your privacy matters to us. By applying, you acknowledge that you’ve reviewed our Candidate Privacy Notice . Show more Show less Seniority level Internship Employment type Internship Job function Engineering and Information Technology Industries Advertising Services",[],2024-04-21 17:17:19.586541
minware,Junior Front End Engineer,https://www.linkedin.com/jobs/view/junior-front-end-engineer-at-minware-3886621563?position=9&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=ttlNcBzPDY%2B2DcP2CsDa%2FA%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found or couldn't be loaded,[],2024-04-21 17:17:19.586541
minware,Junior Front End Engineer,https://www.linkedin.com/jobs/view/junior-front-end-engineer-at-minware-3886626110?position=10&pageNum=0&refId=z2NSFMsWJLjEUX%2Fs9JshBQ%3D%3D&trackingId=5l3KWVQPe7LzkGJOjcYfBA%3D%3D&trk=public_jobs_jserp-result_search-card,Job description not found or couldn't be loaded,[],2024-04-21 17:17:19.586541
